"Gene_ID","WT_LP1:read count","WT_LP2:read count","WT_EP1:read count","WT_EP2:read count","WT_SP1:read count","WT_SP2:read count"
"gene-SAUSA300_RS01645",3652,3581,2296,2118,1953,1611
"gene-SAUSA300_RS01650",1332,1398,958,863,434,406
"gene-SAUSA300_RS01655",3684,4126,250,178,393,397
"gene-SAUSA300_RS01660",16,21,65,54,109,141
"gene-SAUSA300_RS01665",19,16,61,47,81,93
"gene-SAUSA300_RS01670",69,52,166,130,250,252
"gene-SAUSA300_RS01675",53,60,1766,1638,598,627
"gene-SAUSA300_RS01680",43,41,1993,1808,566,632
"gene-SAUSA300_RS01685",197,137,883,724,371,445
"gene-SAUSA300_RS01690",1828,1743,829,740,357,365
"gene-SAUSA300_RS01695",336,317,1279,1170,339,362
"gene-SAUSA300_RS01700",26,29,352,342,1730,1713
"gene-SAUSA300_RS01705",5753,5088,152403,132036,184592,189901
"gene-SAUSA300_RS01710",1494,1591,388,317,226,184
"gene-SAUSA300_RS01715",596,592,225,199,226,185
"gene-SAUSA300_RS01720",0,1,2,9,2,3
"gene-SAUSA300_RS01725",342,322,124,119,310,307
"gene-SAUSA300_RS01730",37,34,13,21,26,44
"gene-SAUSA300_RS01735",209,226,114,64,150,200
"gene-SAUSA300_RS01740",184,201,101,65,176,203
"gene-SAUSA300_RS01745",402,355,149,143,338,393
"gene-SAUSA300_RS01750",2387,2336,2376,1965,2432,2518
"gene-SAUSA300_RS01755",305,288,4652,3976,1276,1206
"gene-SAUSA300_RS01760",5,0,68,58,8,9
"gene-SAUSA300_RS01765",13,18,648,576,110,99
"gene-SAUSA300_RS01770",226,235,8241,7352,1116,1167
"gene-SAUSA300_RS01775",223,192,99,80,20,33
"gene-SAUSA300_RS01780",228,203,102,82,47,55
"gene-SAUSA300_RS01785",345,354,85,99,40,64
"gene-SAUSA300_RS01790",421,580,473,440,916,969
"gene-SAUSA300_RS01795",526,412,338,348,683,637
"gene-SAUSA300_RS01800",503,484,443,334,594,606
"gene-SAUSA300_RS01805",90,105,98,94,114,103
"gene-SAUSA300_RS01810",552,613,303,298,493,529
"gene-SAUSA300_RS01815",12,14,18,10,11,10
"gene-SAUSA300_RS01820",454,481,89,88,108,95
"gene-SAUSA300_RS01825",63,63,16,16,30,16
"gene-SAUSA300_RS01830",94,65,25,21,44,43
"gene-SAUSA300_RS01835",85,73,40,36,49,39
"gene-SAUSA300_RS01840",2586,2751,262,182,326,352
"gene-SAUSA300_RS01845",720,692,32,29,40,36
"gene-SAUSA300_RS01850",4311,4520,131,93,51,44
"gene-SAUSA300_RS01855",77,51,18,10,12,21
"gene-SAUSA300_RS01860",567,617,118,86,153,189
"gene-SAUSA300_RS01865",660,706,138,118,285,242
"gene-SAUSA300_RS01870",506,531,154,122,195,206
"gene-SAUSA300_RS01875",1001,1271,151,144,94,93
"gene-SAUSA300_RS01885",4727,4881,2223,1949,3415,3402
"gene-SAUSA300_RS01890",605,546,217,198,281,305
"gene-SAUSA300_RS01895",536,509,210,172,399,417
"gene-SAUSA300_RS01900",288,292,97,106,169,208
"gene-SAUSA300_RS01905",89,92,22,26,70,86
"gene-SAUSA300_RS01910",91,105,15,23,85,86
"gene-SAUSA300_RS01915",925,890,118,129,145,117
"gene-SAUSA300_RS01920",1500,1565,317,312,277,358
"gene-SAUSA300_RS01925",49,60,5,7,9,6
"gene-SAUSA300_RS01930",3865,3495,1178,918,974,1038
"gene-SAUSA300_RS01935",193,177,104,76,191,176
"gene-SAUSA300_RS01940",22162,22349,10472,8903,6196,6193
"gene-SAUSA300_RS01945",22392,16595,7460,5645,4302,3930
"gene-SAUSA300_RS01950",68,71,75,93,26,44
"gene-SAUSA300_RS01955",124,145,48,48,144,109
"gene-SAUSA300_RS01965",29,15,19,9,15,15
"gene-SAUSA300_RS01970",163,204,51,84,184,215
"gene-SAUSA300_RS01975",19,62,3,8,9,18
"gene-SAUSA300_RS01980",18316,18378,2535,1931,8151,8046
"gene-SAUSA300_RS01985",770,977,327,324,211,217
"gene-SAUSA300_RS01990",723,706,396,291,334,411
"gene-SAUSA300_RS01995",0,0,4,0,0,2
