"gene_id","camSd69_rep1","camSd69_rep2","camSd69_rep3","camSKI_rep1","camSKI_rep2","camSKI_rep3","LAC_wt_rep1","LAC_wt_rep2","LAC_wt_rep3","LAC_ΔcamS_rep1","LAC_ΔcamS_rep2","LAC_ΔcamS_rep3"
"pta",13244,12498,14928,8401,9798,8198,8383,11560,10421,11288,14808,16740
"SAUSA300_RS03055",10293,10576,11364,5964,7239,5947,5670,8984,8523,8673,10954,12536
"mvk",2491,2442,3285,1944,2372,1871,2199,2651,2364,1789,2595,3194
"mvaD",5374,5578,8193,5044,6268,5028,4656,7037,5965,3946,5775,8012
"SAUSA300_RS03070",4682,4501,7553,4296,5754,4554,4095,6663,5145,3581,4455,6955
"SAUSA300_RS03075",193,227,272,86,173,113,93,179,129,138,159,311
"SAUSA300_RS03080",2073,2157,2402,1942,2606,1625,1794,2719,2095,2033,1750,2519
"SAUSA300_RS03085",250,246,251,148,236,145,125,248,274,200,209,247
"SAUSA300_RS03090",0,0,0,0,0,0,0,0,0,0,0,0
"SAUSA300_RS03095",1015,1209,1097,1180,1591,1209,1054,1912,1855,995,1107,1116
"SAUSA300_RS03100",140,91,152,148,250,137,164,334,81,118,121,158
"SAUSA300_RS03105",558,564,563,570,796,541,604,873,451,532,569,648
"SAUSA300_RS03110",511,476,524,423,654,366,454,766,515,477,454,555
"SAUSA300_RS03115",356,428,346,277,399,256,314,540,180,351,312,386
"SAUSA300_RS03120",5,3,0,2,6,0,1,0,2,4,6,6
"SAUSA300_RS03125",297,316,318,202,398,227,249,496,197,263,297,345
"SAUSA300_RS03130",484,511,494,399,508,370,354,630,412,468,453,536
"SAUSA300_RS15930",305,341,296,207,345,182,279,412,168,296,268,366
"SAUSA300_RS03140",111,96,78,67,130,48,95,117,62,54,80,120
"SAUSA300_RS03145",160,179,180,120,156,108,116,205,158,162,168,205
"SAUSA300_RS03150",498,528,465,417,528,373,419,682,309,485,518,594
"SAUSA300_RS03155",201,288,190,162,220,142,134,287,247,208,197,206
"SAUSA300_RS03160",356,336,317,244,383,202,278,426,248,303,317,389
"SAUSA300_RS03165",2198,2365,2610,1690,2325,1695,1681,2712,2493,2169,2222,2785
"SAUSA300_RS03170",3002,3416,3091,2306,2785,2100,1840,3127,2705,2944,2971,3468
"SAUSA300_RS03175",307,235,213,143,304,190,196,338,215,257,213,224
"SAUSA300_RS03180",3608,3770,3314,2890,4220,2521,3015,4338,3537,3656,3556,3789
"SAUSA300_RS03185",1538,1514,1467,1270,1688,998,1135,1739,1441,1365,1496,1617
