"gene_name","WT1","WT2","A1","A2"
"PA14_07650",20,9,51,50
"PA14_07660",26,12,36,84
"PA14_07680",14,16,64,68
"PA14_07690",2,3,14,8
"PA14_07700",0,1,3,0
"PA14_07710",8,0,12,13
"PA14_07730",0,0,30,27
"PA14_07740",3,1,13,8
"PA14_07760",3,7,26,21
"PA14_07770",41,47,387,397
"PA14_07780",69,61,141,151
"PA14_07790",53,33,90,110
"PA14_07800",21,16,46,61
"PA14_07810",19,13,42,66
"PA14_07820",64,45,133,152
"PA14_07840",16,16,90,89
"PA14_07850",20,23,64,85
"PA14_07860",16,8,158,152
"PA14_07870",43,27,209,194
"PA14_07890",8,9,28,37
"PA14_07900",2,2,8,17
"PA14_07910",68,28,330,316
"PA14_07930",17,18,195,205
"PA14_07940",153,81,1014,1097
"PA14_07950",2,0,2,3
"PA14_07960",0,0,5,6
"PA14_07970",1,0,12,6
"PA14_07980",12,8,39,41
"PA14_07990",8,6,9,6
"PA14_08000",11,5,12,20
"PA14_08010",9,16,9,18
"PA14_08020",11,13,12,7
"PA14_08030",23,12,11,17
"PA14_08040",91,48,38,42
"PA14_08050",185,106,191,186
"PA14_08060",76,58,144,184
"PA14_08070",127,76,74,71
"PA14_08090",36,22,27,25
"PA14_08100",51,20,15,10
"PA14_08120",72,55,65,62
"PA14_08130",38,16,20,19
"PA14_08140",2,7,5,10
"PA14_08150",58,41,38,37
"PA14_08160",15,9,5,17
"PA14_08180",1,2,0,0
"PA14_08210",45,25,16,14
"PA14_08220",38,27,19,34
"PA14_08230",6,7,5,7
"PA14_08240",162,106,86,105
"PA14_08250",7,7,7,5
"PA14_08260",19,8,6,7
"PA14_08270",20,7,9,8
"PA14_08280",32,19,24,23
"PA14_08300",105,77,59,68
"PA14_08310",148,104,378,445
"PA14_08320",36,32,124,124
"PA14_08330",52,35,137,129
"PA14_08340",88,59,2198,2127
"PA14_08350",56,37,745,841
"PA14_08360",61,38,511,501
"PA14_08370",0,0,25,31
"PA14_08380",13,12,115,86
"PA14_08390",27,24,185,123
"PA14_08400",1,2,8,0
"PA14_08420",1,1,10,3
"PA14_08430",130,77,180,204
"PA14_08440",7,9,16,22
"PA14_08450",1,8,19,13
"PA14_08460",1,1,6,5
"PA14_08470",0,2,31,13
"PA14_08480",94,58,347,328
"PA14_08490",56,24,210,149
"PA14_08500",33,26,127,127
"PA14_08510",274,161,583,616
"PA14_08520",9,4,24,33
"PA14_08540",43,35,196,202
"PA14_08560",310,182,1329,1393
"PA14_08570",7573453,4956918,5339903,7444392
"PA14_08580",945,1023,5111,5653
"PA14_08590",1081,1695,4637,4771
"PA14_08600",18482497,14875704,11764523,15996770
"PA14_08610",209045,227276,248401,258218
"PA14_08620",52,31,518,543
"PA14_08630",27,22,185,161
"PA14_08640",55,39,313,325
"PA14_08650",3226,3456,4605,5374
"PA14_08660",822,804,4088,3577
"PA14_08670",589,498,6736,4427
"PA14_08680",4701,3268,11845,11211
"PA14_08690",260,301,1270,1614
"PA14_08695",368,273,3626,3305
"PA14_08710",484,324,5884,5498
"PA14_08720",1210,753,7124,7523
"PA14_08730",2024,1408,10669,10359
"PA14_08740",1937,1188,11425,10719
"PA14_08750",4801,3021,31589,30154
"PA14_08760",8481,5768,22530,19880
"PA14_08780",8616,6048,26441,26881
"PA14_08790",1452,960,7073,5822
"PA14_08810",1648,1095,5619,5457
"PA14_08820",9543,6296,21961,20681
"PA14_08830",6902,5005,16492,16782
"PA14_08840",2920,1989,15840,16938
"PA14_08850",2547,1644,14770,15239
"PA14_08860",2468,1609,12439,12971
"PA14_08870",1506,918,5919,5156
"PA14_08880",1840,1169,9170,8279
"PA14_08890",786,579,4490,4094
"PA14_08900",1266,906,5940,6098
"PA14_08910",4655,3273,17761,19079
"PA14_08920",1326,884,6497,6323
"PA14_08930",312,219,1323,1223
"PA14_08940",1452,900,7307,7334
"PA14_08950",546,392,3961,3874
"PA14_08960",2593,1756,12873,12622
"PA14_08970",4631,2885,14679,16057
"PA14_08980",2114,1449,7458,9371
"PA14_08990",843,602,6219,6131
"PA14_09000",643,440,6175,5249
"PA14_09010",346,241,2341,2297
"PA14_09020",829,569,5181,5166
"PA14_09030",538,309,2126,1967
"PA14_09040",792,588,3907,4011
"PA14_09050",3896,2501,20658,20520
"PA14_09070",421,319,2975,3452
"PA14_09080",2067,1296,11861,11539
"PA14_09090",1537,893,7508,8566
"PA14_09100",2807,1925,12168,11660
"PA14_09115",3517,2310,11289,11000
"PA14_09130",1446,973,4951,4694
"PA14_09150",889,649,523,571
"PA14_09160",288,195,1076,1138
"PA14_09180",48,29,133,129
"PA14_09195",33,12,161,148
"PA14_09200",135,112,1330,1543
"PA14_09210",11,5,32,34
"PA14_09220",0,0,13,18
"PA14_09230",4,4,6,0
"PA14_09240",1,0,10,7
"PA14_09260",3,3,6,4
"PA14_09270",49,40,27,22
"PA14_09280",86,57,99,89
"PA14_09290",19,7,10,3
"PA14_09300",25,24,23,22
"PA14_09320",11,8,15,18
"PA14_09340",155,100,59,57
"PA14_09350",3,3,2,1
"PA14_09370",8,1,5,5
"PA14_09380",6,5,1,14
"PA14_09400",7,2,6,9
"PA14_09410",1,1,0,1
"PA14_09420",1,1,0,4
