"Id","Untreated-Rep1","Untreated-Rep2","Treated-Rep1","Treated-Rep2"
"PA0701",681,900,681,1229
"PA0701a",263,370,417,817
"PA0702",967,1242,889,1400
"PA0703",1452,1579,1508,2223
"PA0704",2023,2286,2174,2940
"PA0705",7646,8686,6958,8154
"PA0706",2103,1990,1271,1312
"PA0707",1526,2052,1217,1594
"PA0708",1237,1147,1130,1401
"PA0709",405,286,167,254
"PA0710",371,487,319,497
"PA0711",508,718,414,622
"PA0712",657,813,477,556
"PA0713",439,373,482,548
"PA0714",615,406,243,308
"PA0714.1",1193,1089,528,627
"PA0715",1565,1146,889,1063
"PA0716",3471,3064,2256,2747
"PA0718",1378,1288,938,1207
"PA0719",1584,1445,954,1309
"PA0720",1640,1176,1064,1423
"PA0721",439,270,191,369
"PA0722",1400,713,690,810
"PA0723",1417,1007,1048,1135
"PA0724",3409,2280,1231,1899
"PA0725",1051,972,483,795
"PA0726",2833,2703,1356,2059
"PA0727",2064,1094,656,820
"PA0728",1122,578,394,436
"PA0729",3708,3112,2942,3795
"PA0729.1",265,234,155,239
"PA0730",6524,5796,3045,3261
"PA0731",1728,2128,1542,1952
"PA0732",2068,2456,2031,2765
"PA0733",1170,1282,1164,1538
"PA0734",1275,1467,1340,1622
"PA0735",2286,3070,1688,2095
"PA0736",4036,4462,2289,2903
"PA0736a",672,547,628,780
"PA0737",670,815,620,828
"PA0738",424,438,280,376
"PA0739",600,649,657,1147
"PA0740",1543,1942,1163,1773
"PA0741",435,513,385,707
"PA0742",768,922,544,775
"PA0743",538,746,523,813
"PA0744",932,1124,1649,2243
"PA0745",1172,1098,1802,2252
"PA0746",1423,1618,1620,2215
"PA0747",1610,1723,1791,2474
"PA0749",1590,1650,1062,1447
"PA0750",3826,3943,3072,3501
"PA0751",722,934,897,1306
"PA0752",1192,1461,896,1523
"PA0753",414,451,306,448
"PA0754",1264,1662,1029,1530
"PA0755",2614,2744,1448,1762
"PA0756",612,814,853,1172
"PA0757",1825,1657,2424,3444
"PA0758",5513,5191,5626,6438
"PA0759",3312,3331,3508,4260
"PA0760",572,418,460,595
"PA0761",6022,6713,6414,7632
"PA0762",9165,8760,10183,11611
"PA0763",13994,13140,17791,19573
"PA0764",9820,9508,12825,13929
"PA0765",4138,3243,3770,4705
"PA0766",19202,17301,18792,20677
"PA0767",25506,24520,24161,26731
"PA0768",7053,5998,6277,7258
"PA0769",3642,3292,3090,3360
"PA0770",7433,7221,9397,11389
"PA0771",7542,7732,9650,11428
"PA0772",1164,1244,1456,2055
"PA0773",1260,1565,2081,2399
"PA0774",1945,2071,2209,2449
"PA0775",4352,4939,4219,5005
"PA0776",556,231,197,248
"PA0777",1052,1280,1823,2446
"PA0778",1866,1724,2914,3074
"PA0779",14661,15617,36752,39634
"PA0780",4980,4709,5109,5782
"PA0781",69634,63812,58478,68848
"PA0782",11045,12496,12816,15185
"PA0783",9565,10324,9681,11614
"PA0784",2195,2886,2541,3369
"PA0785",619,836,639,965
"PA0786",378,460,249,403
"PA0787",648,665,1010,1569
"PA0788",2426,2981,2293,3770
"PA0788a",375,337,341,565
"PA0789",5638,5408,4726,5440
"PA0790",499,598,486,893
"PA0791",600,723,925,1262
"PA0792",1698,1767,1551,2288
"PA0793",1539,1883,1456,2097
"PA0794",3395,4213,4109,5570
"PA0795",3083,3656,2565,3349
